data	before	after	until	since	while
6650	0.545	0.532	0.494	0.536	0.526
7000	0.499	0.518	0.524	0.521	0.517
5950	0.598	0.588	0.53	0.513	0.543
3850	0.748	0.737	0.521	0.5	0.507
1750	0.498	0.5	0.506	0.498	0.499
4200	0.561	0.466	0.519	0.497	0.52
350	0.5	0.5	0.5	0.5	0.5
6300	0.494	0.421	0.494	0.511	0.542
8400	0.555	0.554	0.545	0.506	0.5
5600	0.545	0.494	0.493	0.515	0.557
1050	0.5	0.5	0.5	0.5	0.499
3150	0.587	0.497	0.511	0.524	0.573
7700	0.587	0.574	0.516	0.511	0.49
2800	0.539	0.523	0.504	0.498	0.515
4900	0.59	0.569	0.511	0.521	0.546
2450	0.525	0.469	0.506	0.499	0.482
4550	0.493	0.5	0.518	0.497	0.493
8050	0.566	0.659	0.521	0.536	0.548
2100	0.5	0.5	0.5	0.5	0.499
700	0.5	0.5	0.5	0.517	0.5
3500	0.5	0.45	0.501	0.5	0.518
7350	0.672	0.537	0.506	0.526	0.568
5250	0.555	0.49	0.53	0.54	0.534
1400	0.499	0.5	0.5	0.5	0.499
