data	before	after	until	since	while
36	0.05641289660000037	-0.007861650200000625	0.0071408999999995615	-0.0026553529999997494	-0.08385691640000026
31	0.05736171080000041	-0.006279739200000023	0.006414907000000802	-0.002935006999999601	-0.0860486737999997
30	0.05842594120000033	-0.006562267999999705	0.006240281000000181	-0.0031373290000011878	-0.08653976360000026
6	-0.008459342400000125	0.03937004760000029	0.015141668999999247	0.0040586099999995184	0.025141478800000172
1	-0.044222811800000095	0.06622149120000032	0.001732733999999958	-0.0094954285999993	0.011916563399999802
8	-0.05995047880000026	0.0461155612000006	-0.003928177399999733	0.030128721000000525	0.03778500419999986
9	0.1746369807999999	-0.11437761639999966	-0.0029221532000001105	-0.03229322500000009	-0.07299733340000003
7	0.058884017600000504	0.010501276599999443	-0.02194335560000038	-0.0033410150000001693	-0.038925602199999965
15	0.04416330759999987	-0.016208181000000543	-0.0046572611999993185	-0.019239480999999614	-0.07012653980000039
12	0.08809276419999978	-0.006486721599999967	-0.019208534000000554	0.010488328399999247	-0.045880890600000335
24	0.07447072059999993	-0.006959977199999301	0.008179383999999956	-0.006957398999999143	-0.095552423
23	0.07734895900000005	-0.007450306600000012	0.006394861799999596	-0.00727349099999941	-0.09678061700000029
22	0.0798032053999993	-0.0064294245999994	0.006284846599999838	-0.0088644010000003	-0.097869663
25	0.0695636345999997	-0.007135706999999769	0.007920737600000116	-0.006366746999999506	-0.0907800019999998
13	0.11696453159999987	-0.037020827200000106	-0.019133376800000157	-0.002252614999999736	-0.09714252820000002
14	0.08980273059999977	-0.04449747000000048	0.0021171744000003656	-0.006559133000001438	-0.08087043260000026
32	0.056963307600000235	-0.00719704180000047	0.006607568999999813	-0.002675117000000782	-0.08502269520000016
35	0.05662714159999993	-0.007967752599999933	0.007067462399999336	-0.002529730000000896	-0.08382771320000071
34	0.05709295020000038	-0.008152433799999415	0.006900254000000494	-0.002510896000000429	-0.08416943420000056
33	0.05670999819999967	-0.007882948799999845	0.006452705600000108	-0.00268203400000111	-0.08457221619999977
2	-0.023024016399999958	0.05342043899999993	0.000654295799999538	-0.006358332999999661	0.008072284999999901
5	-0.1029976354000004	0.0557615951999999	-0.003929487599999781	0.03457133860000017	0.02218197780000075
4	-0.018519660599999987	0.030044401999999693	0.015959747400000168	0.012132594599999713	0.012638139399999915
3	-0.0543763110000004	0.05111223840000001	0.0044436222000001635	-0.0022498770000005663	0.003926271200000109
11	0.14144178220000025	-0.08651815240000005	-0.020509013599999903	0.029886233999999234	-0.048275998600000314
29	0.05824281240000051	-0.0066619069999998	0.0058955088000001155	-0.0032241410000004578	-0.0865958758000005
16	0.04367185239999927	-0.004074233599999921	-0.00992240440000014	-0.023579998999998963	-0.1164643044
20	0.0783292626000005	-0.0025168494000000763	0.005183892199999818	-0.007861684999999952	-0.09475379419999985
18	0.05370524060000026	0.010691263600000056	0.004088484000000392	-0.022694972000000035	-0.0855822434000002
27	0.06521598760000025	-0.00647577460000015	0.007170396599999407	-0.003975819999999075	-0.08794624559999953
19	0.06421762620000049	0.008245250400000792	0.00435567820000049	-0.017881759999999858	-0.08266493200000014
26	0.06582980720000009	-0.0049075513999996545	0.007127029999999479	-0.0028752189999998734	-0.08561590040000056
21	0.08084691700000057	-0.008242521200000574	0.005373237599999747	-0.008401200999999858	-0.10025896540000012
28	0.05853881140000006	-0.0062355492000003565	0.005931275400000047	-0.004143535000000753	-0.0878826826000001
17	0.0663847512000002	-0.001993520399999227	-0.0032262306000001573	-0.03498055200000039	-0.09073024419999953
10	0.1353813490000002	-0.04018794500000045	-0.015314699599999315	-0.025108249000000527	-0.09478533019999968
