data	word	mean	low	high
25	before	0.7175526764719442	0.07098461766599551	1.364120735277893
50	before	0.9966629627077748	0.9797501238171634	1.013575801598386
75	before	0.9933445912387007	0.9933445912387007	0.9933445912387007
100	before	0.9979980478476524	0.9725608339273836	1.0234352617679214
125	before	0.996328640362727	0.9921032597344537	1.0005540209910002
150	before	0.9976659467099305	0.9680089877405634	1.0273229056792974
175	before	0.9966722956193503	0.9543898024564937	1.038954788782207
200	before	0.9970030714789817	0.9589234841104713	1.0350826588474922
225	before	0.9986635816013085	0.9816827758139992	1.0156443873886178
250	before	0.9993308965985579	0.9908291317899921	1.0078326614071238
275	before	0.9976659467099305	0.9680089877405634	1.0273229056792974
300	before	0.9979944781998664	0.9895154372211229	1.0064735191786098
325	before	0.9969995125148859	0.9673821613970247	1.026616863632747
350	before	0.9983288059010277	0.9856017287022685	1.011055883099787
375	before	0.9979980478476524	0.9725608339273836	1.0234352617679214
400	before	0.9996652242997193	0.9954114957111692	1.0039189528882693
425	before	0.9973342882151668	0.9634632085087554	1.031205367921578
450	before	0.9970030714789817	0.9589234841104713	1.0350826588474922
475	before	0.9986635816013085	0.9816827758139992	1.0156443873886178
500	before	0.9989970159978443	0.9862528959190886	1.0117411360766
525	before	1.0	1.0	1.0
550	before	0.9998299421803414	0.997669152706727	1.0019907316539558
575	before	1.0	1.0	1.0
600	before	0.9994951665950236	0.9930806499936037	1.0059096831964434
25	after	0.5453035697142947	0.34889722612091434	0.7417099133076751
50	after	0.7053317231770493	0.06411866898826524	1.6065447773658335
75	after	0.7359732070071239	-0.11576351836144672	1.6277099323756945
100	after	0.754932051544394	-0.887273099987786	2.357137203076574
125	after	0.7722446205236984	-0.5083603839289819	2.0528496249763784
150	after	0.7828431802363739	0.38815108326304104	1.2675352772097068
175	after	0.7735062070381945	-1.1138298654476855	2.6208422795240742
200	after	0.7819977533553643	-0.9045568319927846	2.3285523387035134
225	after	0.8333938585288161	0.4622645852597626	1.2045231317978695
250	after	0.8372221321258876	0.11568388128562068	1.3587603829661545
275	after	0.8454786403276896	0.6084592398951695	1.0824980407602098
300	after	0.8691893767279824	0.1702105003507388	1.388168253105226
325	after	0.8768622957176994	-0.3449400353985246	1.8986646268339233
350	after	0.8742466269367613	0.7522020592004683	0.9962911946730542
375	after	0.8899565212018421	0.5553565809342429	1.2245564614694413
400	after	0.8940512063699224	0.6083363767173371	1.0797660360225076
425	after	0.896200940862934	0.7360363322558953	0.9763655494699727
450	after	0.8776710624828976	0.832934631691147	0.9024074932746482
475	after	0.8390777022587024	0.22076857007979678	1.417386834437608
500	after	0.8221494861109513	0.26932012185186716	1.3749788503700353
525	after	0.7874236023264594	0.6766615444079612	0.6981856602449575
550	after	0.7759860977337199	0.2277808403444901	1.4041913551229497
575	after	0.7752710680057875	-0.3246735384960151	1.87521567450759
600	after	0.7948884685735902	-0.3396222676513623	1.8893992047985426
25	since	0.5369382848590719	0.052269019783942994	1.0216075499342008
50	since	0.6428896731687719	0.6323560637040161	0.6534232826335277
75	since	0.656569526701574	0.06227969405251732	1.2508593593506308
100	since	0.7082647196194514	0.4217227748707233	0.8948066643681796
125	since	0.7457506712991832	-1.2670196624403607	2.7585210050387268
150	since	0.7919741991283657	0.8539764805181763	0.9299719177385551
175	since	0.7985542933751964	0.8749030360902829	0.92220555066011
200	since	0.7850807662981714	-0.4131552793379272	2.16331681193427
225	since	0.7870651716391566	-0.132774669998174	1.5469050132764872
250	since	0.8024687696750001	-0.03139257000325013	1.7163301093532501
275	since	0.8186857263404017	0.012892509798353546	1.6644789428824498
300	since	0.8070574626657411	-0.1396449881435159	1.5537599134749982
325	since	0.8387014158482959	-1.329509914318821	2.9469127460154128
350	since	0.8512022896434807	-0.8940230035265933	2.436427582813555
375	since	0.9167686781113933	0.7306393456595155	1.102898010563271
400	since	0.93627002147546	0.4192140676363717	1.4533259753145482
425	since	0.9209907542245677	0.7071247162848389	1.1348567921642965
450	since	0.9321199819576003	0.9021199819576003	0.9021199819576003
475	since	0.9377558913248164	0.023777348861896974	1.6517344337877358
500	since	0.9398396725137381	0.4756549509452655	1.4040243940822108
525	since	0.9148901431372382	-0.4109238055885365	2.160704091863013
550	since	0.8921526744166791	-0.9051484022600422	2.4494537510934005
575	since	0.9050256397137099	-0.12632720820667886	1.5363784876340987
600	since	0.9078764940748656	0.7515945125772246	1.0641584755725066
25	until	0.7384367861495601	0.7331538534346007	0.7437197188645195
50	until	0.7746660826179212	0.7650584793018719	0.7842736859339706
75	until	0.8471018567906988	-0.06917203434123487	1.7633757479226326
100	until	0.8489393525522189	-0.0934286945892534	1.7913073996936912
125	until	0.8467534697261706	-0.05959602646963247	1.7531029659219737
150	until	0.857925476664776	0.8292012466837144	1.0163838486492407
175	until	0.8521783771287231	0.9104003709528946	0.9339563833045516
200	until	0.8483201287931219	-0.07243179846823422	1.769072056054478
225	until	0.8280015995147766	0.63366925466455	0.9423339443650031
250	until	0.8556080638589947	-0.16874743581319285	1.8799635635311822
275	until	0.8750413652026808	0.5104065011385372	1.3996762292668243
300	until	0.8652058775193074	0.7724570187359521	0.7779547363026627
325	until	0.8792297905847099	0.9088354556189001	0.9296241255505197
350	until	0.888540514044402	-0.19482641902182452	1.9119074471106285
375	until	0.8967984014046805	-0.06287163181605104	1.756468434625412
400	until	0.9209140706957158	0.9036726477363891	0.9381554936550426
425	until	0.9375186900645255	-0.07405156998560813	1.7690889501146592
450	until	0.9415765844027711	0.9021520766421016	0.9410010921634406
475	until	0.9494803534373985	-0.08601362569439053	1.7849743325691874
