before,after,since,until,while
6.7417479999999985,5.777184,5.472764000000001,5.536915999999999,5.108804
9.68018,6.948155999999998,6.807448000000001,6.777768000000001,5.7039599999999995
9.940048,8.288904,7.1595080000000015,7.027676000000001,6.659675999999999
9.970983999999998,8.956779999999998,7.609324,7.655152,7.548243999999999
9.958407999999999,9.718895999999999,7.888488,7.597335999999999,7.702464
9.969967999999996,9.745472000000001,8.472056,8.431076000000003,7.8357
9.963211999999999,9.888407999999998,8.418564000000002,8.420848000000001,8.231856
9.972231999999998,9.870951999999999,8.336347999999997,8.279764000000002,7.815588000000002
9.892040000000001,9.838672,8.450831999999998,8.346888,8.164172
9.977536,9.865683999999998,8.710976,8.347204,8.8673
9.977776,9.918236,8.662888,8.778263999999998,8.350996
9.971296,9.823868000000001,8.661944,8.499880000000001,8.705404000000001
9.977032000000001,9.918776000000001,8.561831999999999,8.893156,8.598768
9.974415999999998,9.921847999999999,8.912068,8.765387999999998,8.458964000000002
9.983775999999997,9.891776,8.93234,8.618796000000001,8.469452
9.980255999999999,9.888088,8.854868000000002,8.448011999999999,8.849184000000001
9.975387999999997,9.947812,8.785244,8.694192,8.582847999999998
9.984088,9.967816000000001,8.8748,8.761636,8.294964
9.977535999999999,9.936048000000001,8.564439999999998,8.549216000000001,8.761076000000001
9.98284,9.920639999999999,8.746976,8.67004,8.349632
9.9781,9.955752,8.765916,8.775335999999998,8.963328
9.981519999999998,9.960328000000002,8.651136,8.332099999999999,8.643544
9.979728,9.967444000000002,8.685352,8.879132,8.813184
9.987611999999999,9.972536000000002,8.947059999999999,8.492184,8.498576000000003
