data	word	mean	low	high
0	after	0.07513567909057231	0.028491438923280363	0.12177991925786426
25	after	0.1140558560694434	-0.0646473186789758	0.2927590308178626
50	after	0.0005377439285986804	-0.0006105900129997413	0.0016860778701971021
75	after	0.024710410136907737	-0.009040357767428231	0.058461178041243705
100	after	0.13560226816362872	-0.04813787135188172	0.31934240767913913
125	after	0.2236905919500529	-0.0016695943039596595	0.44905077820406547
150	after	0.08086593943478078	-0.0971187932173382	0.25885067208689977
175	after	0.16067409943972202	-0.07777590076617485	0.3991240996456189
200	after	0.09600114924515489	-0.04656304013543992	0.2385653386257497
225	after	0.07218045112781955	-0.08668765065260385	0.23104855290824294
250	after	0.036890119863549585	-0.04430448650980428	0.11808472623690344
275	after	0.07478576992988835	-0.08981659987117353	0.23938813973095024
300	after	0.04326273095989184	-0.05195789786749124	0.1384833597872749
325	after	0.0	0.0	0.0
350	after	0.0005752085130859937	-0.0006908168881696574	0.0018412339143416448
375	after	0.0	0.0	0.0
400	after	0.0	0.0	0.0
425	after	0.0	0.0	0.0
450	after	0.0	0.0	0.0
475	after	0.011706677976354862	-0.009852874235400532	0.03326623018811026
500	after	0.0	0.0	0.0
525	after	0.0	0.0	0.0
550	after	0.0	0.0	0.0
575	after	0.0	0.0	0.0
600	after	0.015625	-0.018765393126296076	0.050015393126296076
625	after	0.020833333333333332	-0.02502052416839477	0.06668719083506143
