data	word	mean	low	high
0	before	0.7224738759113544	0.6406828555583365	0.8042648962643723
25	before	0.9085735966428131	0.8075393477203239	1.0096078455653024
50	before	0.9686439838312286	0.9305209399733991	1.0067670276890581
75	before	0.9942323219960558	0.987581764757233	1.0008828792348787
100	before	0.9922497845327555	0.9826681697237492	1.0018313993417618
125	before	0.9964845664005861	0.9950589994573322	0.99791013334384
150	before	0.984736581022064	0.9570377307108388	1.0124354313332893
175	before	0.9807360697592898	0.9439610823502766	1.017511057168303
200	before	0.9968274328714165	0.9952166854264674	0.9984381803163657
225	before	0.9978071966706891	0.996787426736515	0.9988269666048631
250	before	0.9987224804094595	0.998113238522592	0.999331722296327
275	before	0.9977249435376992	0.9965096048052426	0.9989402822701559
300	before	0.9975516378609007	0.9961573253587687	0.9989459503630328
325	before	0.9975574600466608	0.9963595275163699	0.9987553925769517
350	before	0.9971572849078242	0.995812440919804	0.9985021288958443
375	before	0.9981076297381791	0.9967125030691759	0.9995027564071823
400	before	0.9983523760444463	0.9969910903872007	0.9997136617016918
425	before	0.9985698018678805	0.9976375156320832	0.9995020881036777
450	before	0.998507300481423	0.9971461487808365	0.9998684521820095
475	before	0.9990467394173167	0.9979568548216812	1.0001366240129523
500	before	0.9885829177539139	0.966903395668323	1.010262439839505
525	before	0.9891448432062196	0.9668630463092127	1.0114266401032266
550	before	0.9887220056362712	0.9671225528847013	1.010321458387841
575	before	0.9888873430848975	0.9675203263448898	1.0102543598249052
600	before	0.989035438326371	0.9676366046582316	1.0104342719945103
625	before	0.9889063302835056	0.9678880726169506	1.0099245879500605
0	after	0.5512431524039682	0.4754181201451622	0.6270681846627741
25	after	0.5328544135041012	0.4135809458490587	0.6521278811591438
50	after	0.560324507321409	0.5298739118475743	0.5907751027952438
75	after	0.5293098392394452	0.498927286454314	0.5596923920245764
100	after	0.47759873773054173	0.4288860409035298	0.5263114345575537
125	after	0.4649752129552367	0.40219562005079335	0.52775480585968
150	after	0.4574130744486949	0.365885980984377	0.5489401679130128
175	after	0.4501425790198706	0.35891866067581446	0.5413664973639267
200	after	0.490153256383401	0.47683818430401964	0.5034683284627823
225	after	0.49559147949770566	0.4883799266787248	0.5028030323166865
250	after	0.4856882777737252	0.4575217712098696	0.5138547843375808
275	after	0.49289413567951557	0.4822847485435251	0.503503522815506
300	after	0.4964402423674487	0.4932809230230185	0.4995995617118789
325	after	0.49848791486037686	0.4978422263818255	0.4991336033389282
350	after	0.49872912217165255	0.4978366131460308	0.4996216311972743
375	after	0.49860497326731795	0.4979715269996285	0.4992384195350074
400	after	0.49771516068020455	0.49729150195711813	0.49813881940329097
425	after	0.49829712914925245	0.4976648662119815	0.49892939208652337
450	after	0.4983848189714866	0.4975941627138763	0.49917547522909694
475	after	0.49802640592867614	0.4975253602258044	0.4985274516315479
500	after	0.4986548371082495	0.49778400684496177	0.4995256673715372
525	after	0.4977869193530733	0.49749007123179967	0.4980837674743469
550	after	0.4982408040280697	0.497370688741989	0.4991109193141504
575	after	0.4983759070461003	0.4975909725313917	0.4991608415608089
600	after	0.49817881504983846	0.49737310361242915	0.4989845264872478
625	after	0.49825600599084535	0.49740189386180456	0.49911011811988615
0	since	0.6837802574462556	0.6578646026786219	0.7096959122138893
25	since	0.7462440022624829	0.7359437030857793	0.7565443014391865
