data	word	mean	low	high
0	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
25	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
50	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
75	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
100	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
125	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
150	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
175	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
200	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
225	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
250	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
275	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
300	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
325	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
350	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
375	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
400	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
425	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
450	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
475	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
500	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
525	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
550	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
575	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
600	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
625	before	0.4615384615384616	0.46153846153846156	0.4615384615384617
